Qty,MPN,Description,Manufacturer,UnitCost_USD,ComponentID
1.0,STM32F405RGT6,STM32F405 Cortex-M4 MCU,STMicroelectronics,8.5,STM32F405RGT6
1.0,LTST-C150GKT,Green Status LED 0603,Lite-On,0.05,LTST_C150GKT
1.0,CONN-UART-4PIN,UART Header Connector 4-Pin 2.54mm,Generic,0.1,CONN_UART_4PIN
1.0,CONN-CAN-2PIN,CAN Bus Screw Terminal 2-Pin,Generic,0.3,CONN_CAN_2PIN
1.0,CONN-RS485-2PIN,RS485 Bus Screw Terminal 2-Pin,Generic,0.3,CONN_RS485_2PIN
1.0,BSS138,BSS138 N-Channel MOSFET Level Shifter,ON Semiconductor,0.05,BSS138
1.0,CONN-SWD-2x5,ARM SWD 2x5 1.27mm Debug Header,Generic,0.5,CONN_SWD_2X5
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd STM32F405RGT6,,0.02,C1
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd LTST C150GKT,,0.02,C2
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd CONN UART 4PIN,,0.02,C3
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd CONN CAN 2PIN,,0.02,C4
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd CONN RS485 2PIN,,0.02,C5
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap VIN 24V,,0.05,C6
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap 3V3 REG,,0.05,C7
1.0,GRM188R61A106KE69D,10uF capacitor — ldo input cap U LDO1,,0.05,C8
1.0,GRM188R61A106KE69D,10uF capacitor — ldo output bulk U LDO1,,0.05,C9
1.0,GRM155R71C104KA88D,100nF capacitor — ldo output noise U LDO1,,0.02,C10
1.0,RC0402FR-07330RL,330Ω resistor — led series LTST C150GKT,,0.01,R1
1.0,RC0402FR-07120RL,120Ω resistor — rs485 term CONN RS485 2PIN,,0.01,R2
1.0,HC49-8MHZ,8MHz crystal — main crystal 8mhz,,0.25,CLK_Y1
1.0,GRM1555C1H120GA01D,30pF capacitor — crystal load cap OSC IN,,0.02,CLK_C1
1.0,GRM1555C1H120GA01D,30pF capacitor — crystal load cap OSC OUT,,0.02,CLK_C2
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup LTST-C150GKT 3.3V,,0.01,LS_R1
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup LTST-C150GKT 2.1V,,0.01,LS_R2
1.0,RC0402FR-07470RL,470Ω resistor — uart tx series uart0,,0.01,BP_R1
1.0,RC0402FR-07470RL,470Ω resistor — uart rx series uart0,,0.01,BP_R2
1.0,RC0402FR-07470RL,470Ω resistor — uart tx series uart1,,0.01,BP_R3
1.0,RC0402FR-07470RL,470Ω resistor — uart rx series uart1,,0.01,BP_R4
1.0,RC0402FR-07120RL,120Ω resistor — can termination can0,,0.01,BP_R5
1.0,LM2940CT-3.3,"LDO Voltage Regulator VIN_24V→3V3_REG (24V→3.3V, 1000mA max)",Texas Instruments,1.2,U_LDO1
