Qty,MPN,Description,Manufacturer,UnitCost_USD,ComponentID
1.0,STM32F405RGT6,STM32F405 Cortex-M4 MCU,STMicroelectronics,8.5,STM32F405RGT6
1.0,TB6612FNG,TB6612FNG Dual DC Motor Driver,Toshiba,2.8,TB6612FNG
1.0,CONN-SWD-2x5,ARM SWD 2x5 1.27mm Debug Header,Generic,0.5,CONN_SWD_2X5
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd STM32F405RGT6,,0.02,C1
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd TB6612FNG,,0.02,C2
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap VIN 12V,,0.05,C3
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap 3V3 REG,,0.05,C4
1.0,GRM188R61A106KE69D,10uF capacitor — ldo input cap U LDO1,,0.05,C5
1.0,GRM188R61A106KE69D,10uF capacitor — ldo output bulk U LDO1,,0.05,C6
1.0,GRM155R71C104KA88D,100nF capacitor — ldo output noise U LDO1,,0.02,C7
1.0,HC49-8MHZ,8MHz crystal — main crystal 8mhz,,0.25,CLK_Y1
1.0,GRM1555C1H120GA01D,30pF capacitor — crystal load cap OSC IN,,0.02,CLK_C1
1.0,GRM1555C1H120GA01D,30pF capacitor — crystal load cap OSC OUT,,0.02,CLK_C2
1.0,AMS1117-3.3,"LDO Voltage Regulator VIN_12V→3V3_REG (12V→3.3V, 800mA max)",Advanced Monolithic Systems,0.3,U_LDO1
